名称,在售价格,在售数量
CZ75自动型 | 黄夹克 (破损不堪),￥33.01,"
                            40"
截短霰弹枪 | 荒野公主 (久经沙场),￥360.00,"
                            88"
格洛克18型（StatTrak™） | 铁之作 (破损不堪),￥6.56,"
                            20"
印花 | AdreN（金色）| 2019年柏林锦标赛,￥52.98,"
                            3"
AUG | 三角战术 (破损不堪),￥1.18,"
                            26"
MP5-SD（StatTrak™） | 鼻青脸肿 (崭新出厂),￥28.40,"
                            5"
格洛克18型（StatTrak™） | 异星世界 (久经沙场),￥3.57,"
                            61"
SG 553（StatTrak™） | 三巨头 (破损不堪),￥7.22,"
                            24"
短剑（★ StatTrak™） | 致命紫罗兰 (略有磨损),￥2708.00,"
                            5"
USP消音版（StatTrak™） | 黑莲花 (久经沙场),￥32.98,"
                            65"
印花 | tabseN | 2024年上海锦标赛,￥0.21,"
                            1"
FN57 | 狂野丛林 (破损不堪),￥18.57,"
                            7"
加利尔AR（纪念品） | 绿苹果 (略有磨损),￥4.82,"
                            46"
短剑（★ StatTrak™） | 致命紫罗兰 (略有磨损),￥2708.00,"
                            5"
USP消音版（StatTrak™） | 黑莲花 (久经沙场),￥32.98,"
                            65"
FN57 | 狂野丛林 (破损不堪),￥18.57,"
                            7"
加利尔AR（纪念品） | 绿苹果 (略有磨损),￥4.82,"
                            46"
P2000 | 至高帝皇 (久经沙场),￥3.00,"
                            58"
M4A1消音版 | 液化 (久经沙场),￥35.99,"
                            407"
印花 | SK Gaming | 2017年亚特兰大锦标赛,￥28.74,"
                            17"
印花 | Brollan（金色）| 2022年里约热内卢锦标赛,￥51.89,"
                            9"
XM1014（StatTrak™） | 五彩斑驳 (战痕累累),￥7.61,"
                            54"
加利尔AR（StatTrak™） | 深红海啸 (战痕累累),￥26.22,"
                            16"
P90 | 冷血无情 (略有磨损),￥2.89,"
                            43"
AK-47 | 墨岩 (久经沙场),￥30.00,"
                            573"
MP5-SD（纪念品） | 小白鼠 (崭新出厂),￥2.71,"
                            98"
音乐盒 | Austin Wintory - 巴克拉姆,￥12.77,"
                            50"
印花 | Team Spirit （金色）| 2022年里约热内卢锦标赛,￥49.44,"
                            8"
USP消音版（StatTrak™） | 27 (久经沙场),￥3.87,"
                            92"
P2000 | 红色碎片迷彩 (久经沙场),￥10.77,"
                            24"
蝴蝶刀（★） | 噩梦之夜 (略有磨损),￥5039.00,"
                            11"
UMP-45 | 路障 (略有磨损),￥1.18,"
                            100"
印花 | frozen（全息）| 2024年哥本哈根锦标赛,￥28.44,"
                            14"
印花 | Brollan（金色）| 2022年里约热内卢锦标赛,￥51.89,"
                            9"
XM1014（StatTrak™） | 五彩斑驳 (战痕累累),￥7.61,"
                            54"
加利尔AR（StatTrak™） | 深红海啸 (战痕累累),￥26.22,"
                            16"
P90 | 冷血无情 (略有磨损),￥2.89,"
                            43"
AK-47 | 墨岩 (久经沙场),￥30.00,"
                            573"
MP5-SD（纪念品） | 小白鼠 (崭新出厂),￥2.71,"
                            98"
音乐盒 | Austin Wintory - 巴克拉姆,￥12.77,"
                            50"
印花 | Team Spirit （金色）| 2022年里约热内卢锦标赛,￥49.44,"
                            8"
P2000 | 红色碎片迷彩 (久经沙场),￥10.77,"
                            24"
UMP-45 | 路障 (略有磨损),￥1.18,"
                            100"
印花 | frozen（全息）| 2024年哥本哈根锦标赛,￥28.44,"
                            14"
USP消音版 | 黑莲花 (久经沙场),￥10.94,"
                            205"
印花 | somebody | 2019年卡托维兹锦标赛,￥16.50,"
                            9"
格洛克18型 | 崩络克18型 (战痕累累),￥4.80,"
                            41"
双持贝瑞塔 | 食人花 (战痕累累),￥2.80,"
                            161"
内格夫（纪念品） | 核子废渣 (久经沙场),￥9.87,"
                            19"
UMP-45 | 迷之宫 (久经沙场),￥2.31,"
                            106"
MP7（纪念品） | 掠夺者 (战痕累累),￥0.34,"
                            5"
MAC-10 | 坐牢 (崭新出厂),￥4.75,"
                            57"
AK-47（StatTrak™） | 迷踪秘境 (破损不堪),￥21.86,"
                            78"
P2000 | 至高帝皇 (久经沙场),￥3.00,"
                            58"
M4A1消音版 | 液化 (久经沙场),￥35.99,"
                            407"
印花 | SK Gaming | 2017年亚特兰大锦标赛,￥28.74,"
                            17"
印花 | Brollan（金色）| 2022年里约热内卢锦标赛,￥51.89,"
                            9"
XM1014（StatTrak™） | 五彩斑驳 (战痕累累),￥7.61,"
                            54"
加利尔AR（StatTrak™） | 深红海啸 (战痕累累),￥26.22,"
                            16"
P90 | 冷血无情 (略有磨损),￥2.89,"
                            43"
AK-47 | 墨岩 (久经沙场),￥30.00,"
                            573"
MP5-SD（纪念品） | 小白鼠 (崭新出厂),￥2.71,"
                            98"
音乐盒 | Austin Wintory - 巴克拉姆,￥12.77,"
                            50"
P2000 | 红色碎片迷彩 (久经沙场),￥10.77,"
                            24"
UMP-45 | 路障 (略有磨损),￥1.18,"
                            100"
印花 | frozen（全息）| 2024年哥本哈根锦标赛,￥28.44,"
                            14"
USP消音版 | 黑莲花 (久经沙场),￥10.94,"
                            205"
印花 | somebody | 2019年卡托维兹锦标赛,￥16.50,"
                            9"
格洛克18型 | 崩络克18型 (战痕累累),￥4.80,"
                            41"
双持贝瑞塔 | 食人花 (战痕累累),￥2.80,"
                            161"
内格夫（纪念品） | 核子废渣 (久经沙场),￥9.87,"
                            19"
UMP-45 | 迷之宫 (久经沙场),￥2.31,"
                            106"
MP7（纪念品） | 掠夺者 (战痕累累),￥0.34,"
                            5"
内格夫（纪念品） | 核子废渣 (久经沙场),￥9.87,"
                            19"
UMP-45 | 迷之宫 (久经沙场),￥2.31,"
                            106"
MP7（纪念品） | 掠夺者 (战痕累累),￥0.34,"
                            5"
MAC-10 | 坐牢 (崭新出厂),￥4.75,"
                            57"
AK-47（StatTrak™） | 迷踪秘境 (破损不堪),￥21.86,"
                            78"
格洛克18型（StatTrak™） | 亡者之寝 (略有磨损),￥12.40,"
                            14"
印花 | 杰克（全息）,￥14.15,"
                            30"
格洛克18型 | 噩梦之夜 (破损不堪),￥12.02,"
                            28"
P2000（StatTrak™） | 变态杀戮 (略有磨损),￥48.76,"
                            19"
SCAR-20 | 心脏打击 (破损不堪),￥68.70,"
                            10"
双持贝瑞塔 | 藏身处 (略有磨损),￥1.10,"
                            253"
M4A1消音版 | 多变迷彩 (崭新出厂),￥9.88,"
                            726"
加利尔AR | 神祇 (战痕累累),￥13.26,"
                            15"
P250（StatTrak™） | 赛博先锋 (战痕累累),￥4.92,"
                            23"
P250 | 随便玩玩 (久经沙场),￥3.49,"
                            2202"
新星 | 约克夏 (久经沙场),￥3.51,"
                            1142"
SCAR-20 | 深红之网 (战痕累累),￥13.34,"
                            18"
AWP | 死神 (久经沙场),￥27.58,"
                            360"
XM1014 | 狻猊 (破损不堪),￥6.23,"
                            19"
海豹短刀（★） | 森林 DDPAT (战痕累累),￥517.80,"
                            37"
海豹短刀（★） | 森林 DDPAT (战痕累累),￥517.80,"
                            37"
2018年社区印花胶囊,￥7.46,"
                            103"
M4A4 | 蚀刻领主 (战痕累累),￥3.58,"
                            355"
AK-47 | 钢铁三角洲 (破损不堪),￥12.60,"
                            53"
MAC-10（StatTrak™） | 捕猎者 (战痕累累),￥4.68,"
                            36"
格洛克18型 | 大金牙 (久经沙场),￥198.49,"
                            154"
USP消音版 | 黑莲花 (破损不堪),￥9.49,"
                            64"
P2000（StatTrak™） | 林间猎者 (崭新出厂),￥290.00,"
                            4"
FN57 | 青空 (略有磨损),￥1.15,"
                            399"
封装的涂鸦 | 接吻 (黛蓝),￥2.10,"
                            1"
M4A1消音版 | 玫瑰蜂巢 (略有磨损),￥8.25,"
                            289"
挂件 | 小变脸,￥3.13,"
                            341"
挂件 | 宝宝AK,￥1.91,"
                            10019"
SCAR-20 | 深红之网 (久经沙场),￥14.05,"
                            52"
USP消音版 | 引擎故障灯 (破损不堪),￥2.84,"
                            61"
印花 | NAF（全息）| 2022年里约热内卢锦标赛,￥18.49,"
                            12"
沙漠之鹰 | 锈蚀烈焰 (略有磨损),￥3.62,"
                            98"
MAG-7 | 钴核 (略有磨损),￥3.43,"
                            31"
Tec-9（StatTrak™） | 蛇-9 (破损不堪),￥2.27,"
                            29"
M4A4 | 涡轮 (久经沙场),￥8.00,"
                            227"
M4A4 | 涡轮 (久经沙场),￥8.00,"
                            227"
USP消音版 | 脑洞大开 (久经沙场),￥25.00,"
                            610"
SCAR-20 | 丛林滑流 (略有磨损),￥1.49,"
                            41"
USP消音版 | 猎户 (崭新出厂),￥1365.00,"
                            80"
XM1014 | 刺青 (崭新出厂),￥2.49,"
                            178"
MP9 | 红宝石毒镖 (略有磨损),￥14.38,"
                            51"
印花 | North | 2020 RMR,￥0.16,"
                            38"
格洛克18型 | 皇家军团 (久经沙场),￥19.64,"
                            17"
M4A4 | 黑色魅影 (崭新出厂),￥1790.00,"
                            113"
印花 | donk（全息）| 2025年布达佩斯锦标赛,￥346.00,"
                            11"
G3SG1 | 多变迷彩 (破损不堪),￥0.34,"
                            33"
USP消音版 | 绿色伞兵 (战痕累累),￥88.85,"
                            12"
M4A4 | 喧嚣杀戮 (久经沙场),￥4198.88,"
                            388"
MP7 | 笑一个 (战痕累累),￥3.58,"
                            304"
加利尔AR | 迷人眼 (久经沙场),￥26.80,"
                            280"
法玛斯 | ZX81 彩色 (破损不堪),￥18.57,"
                            115"
印花 | Imperial Esports（闪耀）| 2022年里约热内卢锦标赛,￥2.80,"
                            1"
M4A1消音版 | 隐伏帝王龙 (略有磨损),￥7.00,"
                            553"
P250 | X 射线 (略有磨损),￥3.21,"
                            164"
格洛克18型 | 圆影玉兔 (略有磨损),￥5.15,"
                            73"
格洛克18型 | 核子花园 (久经沙场),￥7.60,"
                            340"
MP9 | 爆裂食物链 (久经沙场),￥28.50,"
                            116"
P90（StatTrak™） | 集装箱 (略有磨损),￥1.61,"
                            25"
M4A1消音版 | 隐伏帝王龙 (久经沙场),￥3.23,"
                            1705"
M4A1消音版 | 液化 (破损不堪),￥21.50,"
                            12"
加利尔AR | 血橙游骑兵 (崭新出厂),￥3.11,"
                            282"
MP5-SD | 小小噩梦 (略有磨损),￥1.49,"
                            38"
格洛克18型 | 粉碎者 (略有磨损),￥17.93,"
                            34"
AWP | 蠕虫之神 (久经沙场),￥15.88,"
                            111"
USP消音版 | 黑莲花 (略有磨损),￥20.77,"
                            95"
M4A1消音版 | 夜无眠 (久经沙场),￥4.19,"
                            1832"
音乐盒 | Daniel Sadowski - 绝对统御,￥19.77,"
                            24"
MAC-10 | 红苹果 (崭新出厂),￥3.13,"
                            823"
格洛克18型 | 格更鸟 (战痕累累),￥13.94,"
                            122"
FN57 | 银白石英 (略有磨损),￥1.30,"
                            752"
求生匕首（★ StatTrak™） | 都市伪装 (战痕累累),￥664.00,"
                            6"
FN57（StatTrak™） | 斯康里娅 (破损不堪),￥3.01,"
                            11"
FN57 | 童话城堡 (崭新出厂),￥887.00,"
                            42"
印花 | 卡哇伊T（全息）,￥52.18,"
                            18"
P250（StatTrak™） | 铠甲 (崭新出厂),￥37.71,"
                            5"
加利尔AR（StatTrak™） | 凤凰商号 (战痕累累),￥5.14,"
                            40"
刺刀（★） | 都市伪装 (破损不堪),￥1659.00,"
                            1"
UMP-45（纪念品） | 辐射警告 (战痕累累),￥57.92,"
                            2"
弯刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂),￥2161.00,"
                            17"
SG 553（StatTrak™） | 幻影 (破损不堪),￥10.78,"
                            31"
熊刀（★） | 渐变之色 (略有磨损),￥2835.00,"
                            13"
鲍伊猎刀（★） | 虎牙 (略有磨损),￥1619.00,"
                            13"
印花 | FURIA | 2024年上海锦标赛,￥0.36,"
                            3"
新星（StatTrak™） | 风卷残云 (崭新出厂),￥38.25,"
                            7"
MP9 | 落日 (略有磨损),￥91.35,"
                            7"
印花 | Astralis （全息） | 2021年斯德哥尔摩锦标赛,￥40.99,"
                            55"
M4A4 | 变频器 (破损不堪),￥3.61,"
                            31"
AUG（StatTrak™） | 三角战术 (崭新出厂),￥19.04,"
                            13"
折刀（★ StatTrak™） | 人工染色 (久经沙场),￥632.00,"
                            9"
MP5-SD | 氮化处理 (略有磨损),￥27.68,"
                            30"
印花 | Complexity Gaming（全息）| 2022年安特卫普锦标赛,￥53.49,"
                            58"
音乐盒（StatTrak™） | Amon Tobin - 尘归尘,￥34.50,"
                            25"
G3SG1（StatTrak™） | 碧蓝斑纹 (略有磨损),￥29.46,"
                            22"
穿肠刀（★） | 多普勒 (崭新出厂),￥971.00,"
                            25"
骷髅匕首（★ StatTrak™） | 都市伪装 (战痕累累),￥1373.00,"
                            9"
音乐盒（StatTrak™） | Amon Tobin - 尘归尘,￥34.50,"
                            25"
G3SG1（StatTrak™） | 碧蓝斑纹 (略有磨损),￥29.46,"
                            22"
穿肠刀（★） | 多普勒 (崭新出厂),￥971.00,"
                            25"
骷髅匕首（★ StatTrak™） | 都市伪装 (战痕累累),￥1373.00,"
                            9"
封装的涂鸦 | 烈性啤酒 (草绿),￥1.64,"
                            3"
封装的涂鸦 | Cloud9 | 2017年克拉科夫锦标赛,￥22.46,"
                            4"
流浪者匕首（★ StatTrak™） | 北方森林 (久经沙场),￥734.00,"
                            8"
印花 | 残局大师 (全息),￥3.37,"
                            60"
M4A4（StatTrak™） | 杀意大名 (战痕累累),￥64.10,"
                            15"
R8左轮手枪 | 氮化处理 (略有磨损),￥0.72,"
                            163"
SSG 08（StatTrak™） | 速度激情 (破损不堪),￥197.00,"
                            11"
印花 | Vitality（全息）| 2024年哥本哈根锦标赛,￥30.42,"
                            86"
G3SG1 | 雇佣兵 (久经沙场),￥22.03,"
                            8"
MAC-10 | 捕猎者 (破损不堪),￥2.02,"
                            11"
法玛斯（StatTrak™） | 保护色 (久经沙场),￥2.61,"
                            39"
沙漠之鹰 | 跷跷板 (略有磨损),￥4.49,"
                            1737"
AUG（StatTrak™） | 弹跳线条 (崭新出厂),￥18.32,"
                            24"
Tec-9 | 安全网 (战痕累累),￥10.94,"
                            18"
沙漠之鹰 | 遗产 (破损不堪),￥61.71,"
                            26"
2022年里约热内卢锦标赛炼狱小镇纪念包,￥67.62,"
                            3"
2022年里约热内卢锦标赛炼狱小镇纪念包,￥67.62,"
                            3"
FN57 | 紫藤老树 (战痕累累),￥28.08,"
                            5"
P250 | 涟漪 (久经沙场),￥1.98,"
                            75"
内格夫（StatTrak™） | 大嘴巴 (久经沙场),￥10.29,"
                            57"
印花 | zont1x（全息，冠军）| 2024年上海锦标赛,￥1.91,"
                            130"
挂件 | 鸡老幺,￥9.59,"
                            1144"
封装的涂鸦 | BIG | 2018年波士顿锦标赛,￥16.62,"
                            5"
挂件 | 大凯夫,￥1.38,"
                            1023"
挂件 | 小水枪,￥29.84,"
                            1505"
MAG-7 | 北冥有鱼 (战痕累累),￥2.70,"
                            135"
封装的涂鸦 | 射星归来,￥2.01,"
                            11"
印花 | wayLander（闪亮）| 2019年卡托维兹锦标赛,￥82.62,"
                            5"
SSG 08 | 速度激情 (久经沙场),￥182.90,"
                            101"
MP9（StatTrak™） | 红宝石毒镖 (战痕累累),￥21.35,"
                            13"
蝴蝶刀（★ StatTrak™） | 致命紫罗兰 (战痕累累),￥3904.00,"
                            17"
SCAR-20（StatTrak™） | 撕起来 (久经沙场),￥6.52,"
                            16"
P90 | 元女王 (破损不堪),￥3.28,"
                            62"
P250 | 沉积 (崭新出厂),￥1.64,"
                            224"
新星（StatTrak™） | 玩具士兵 (久经沙场),￥9.48,"
                            54"
加利尔AR | 绿苹果 (崭新出厂),￥3.04,"
                            462"
新星（StatTrak™） | 玩具士兵 (久经沙场),￥9.48,"
                            54"
加利尔AR | 绿苹果 (崭新出厂),￥3.04,"
                            462"
双持贝瑞塔 | 水枪冲击 (久经沙场),￥6.43,"
                            420"
音乐盒 | 完美世界，诶嘿,￥19.85,"
                            143"
格洛克18型 | 幻影冥魂 (略有磨损),￥4.66,"
                            17"
印花 | ANNIHILATION（闪耀）| 2023年巴黎锦标赛,￥0.50,"
                            2"
MAC-10（StatTrak™） | 销声 (战痕累累),￥8.18,"
                            12"
AK-47（StatTrak™） | 迷踪秘境 (战痕累累),￥18.32,"
                            120"
AK-47 | 安全网 (略有磨损),￥25.60,"
                            304"
印花 | History（金色）| 2023年巴黎锦标赛,￥9.45,"
                            6"
双持贝瑞塔 | 小甜使 (久经沙场),￥22.81,"
                            204"
P90 | 冷血无情 (久经沙场),￥1.55,"
                            100"
挂件（纪念品） | 2025年奥斯汀锦标赛高光时刻 | 堡垒,￥5.52,"
                            8"
P2000 | 至高帝皇 (崭新出厂),￥4.47,"
                            112"
M4A1消音版 | 渐变之色 (崭新出厂),￥3464.98,"
                            589"
SG 553（StatTrak™） | 豹灯蛾 (略有磨损),￥26.50,"
                            28"
印花 | Calyx（金色） | 2022年安特卫普锦标赛,￥37.71,"
                            20"
P2000（StatTrak™） | 红色碎片迷彩 (久经沙场),￥18.46,"
                            9"
新星 | 一见青心 (久经沙场),￥24.99,"
                            45"
R8左轮手枪 | 渐变琥珀 (破损不堪),￥15.57,"
                            32"
UMP-45 | 白骨之堆 (略有磨损),￥34.98,"
                            44"
MP7 | 赭石短调 (崭新出厂),￥0.70,"
                            241"
AUG（纪念品） | 夜空沙暴 (久经沙场),￥14.91,"
                            72"
XM1014 | 碾骨机 (久经沙场),￥42.45,"
                            25"
AUG | 湖怪鸟 (久经沙场),￥24.14,"
                            219"
法玛斯（纪念品） | 黑水 (久经沙场),￥7.37,"
                            105"
SG 553（StatTrak™） | 擎天神 (略有磨损),￥3.76,"
                            22"
AK-47 | 红线 (略有磨损),￥1637.99,"
                            201"
M4A4 | 渐变斑纹 (破损不堪),￥33.02,"
                            8"
MAG-7（纪念品） | 金属 DDPAT (略有磨损),￥51.33,"
                            3"
P250（StatTrak™） | 翼击 (破损不堪),￥44.59,"
                            17"
MAG-7（纪念品） | 辐照警报 (战痕累累),￥3.13,"
                            19"
P2000 | 黑曜石 (破损不堪),￥12.75,"
                            37"
M9 刺刀（★） | 深红之网 (战痕累累),￥3123.00,"
                            30"
双持贝瑞塔 | 黑豹 (战痕累累),￥11.97,"
                            11"
MP9（StatTrak™） | 红宝石毒镖 (破损不堪),￥46.78,"
                            7"
M4A1消音版 | 幽独 (久经沙场),￥11.59,"
                            18554"
AK-47（StatTrak™） | 墨岩 (久经沙场),￥106.00,"
                            248"
R8左轮手枪 | 疯狂老八 (略有磨损),￥6.88,"
                            66"
Tec-9 | 虎纹模板 (久经沙场),￥0.40,"
                            2423"
Tec-9 | 虎纹模板 (久经沙场),￥0.40,"
                            2423"
P250（StatTrak™） | 超新星 (略有磨损),￥19.47,"
                            55"
加利尔AR（纪念品） | 绿苹果 (久经沙场),￥4.50,"
                            49"
P250 | 震中 (久经沙场),￥36.33,"
                            134"
P250 | 赛博先锋 (略有磨损),￥7.90,"
                            25"
弯刀（★） | 大马士革钢 (崭新出厂),￥800.00,"
                            23"
锯齿爪刀（★） | 大马士革钢 (崭新出厂),￥2389.70,"
                            15"
PP-野牛 | 路霸 (久经沙场),￥16.78,"
                            13"
Tec-9 | 遥控 (久经沙场),￥13.39,"
                            424"
P90 | 夺命器 (破损不堪),￥11.20,"
                            13"
P250（StatTrak™） | 赛博先锋 (久经沙场),￥4.12,"
                            29"
SG 553 | 军队之辉 (久经沙场),￥0.33,"
                            9"
印花 | denis | 2018年波士顿锦标赛,￥15.15,"
                            19"
新星 | 一见青心 (略有磨损),￥84.53,"
                            19"
XM1014 | 天空守卫 (略有磨损),￥52.37,"
                            39"
Tec-9 | 战火重燃 (破损不堪),￥7.32,"
                            26"
沙漠之鹰（StatTrak™） | 指挥 (略有磨损),￥65.25,"
                            7"
AWP | 暴怒野兽 (崭新出厂),￥1345.00,"
                            99"
P90 | 棕色皮革 (略有磨损),￥73.81,"
                            14"
AUG（纪念品） | 随机存取 (破损不堪),￥71.16,"
                            4"
P250（StatTrak™） | 赛博先锋 (久经沙场),￥4.12,"
                            29"
SG 553 | 军队之辉 (久经沙场),￥0.33,"
                            9"
印花 | denis | 2018年波士顿锦标赛,￥15.15,"
                            19"
新星 | 一见青心 (略有磨损),￥84.53,"
                            19"
XM1014 | 天空守卫 (略有磨损),￥52.37,"
                            39"
Tec-9 | 战火重燃 (破损不堪),￥7.32,"
                            26"
沙漠之鹰（StatTrak™） | 指挥 (略有磨损),￥65.25,"
                            7"
AWP | 暴怒野兽 (崭新出厂),￥1345.00,"
                            99"
P90 | 棕色皮革 (略有磨损),￥73.81,"
                            14"
AUG（纪念品） | 随机存取 (破损不堪),￥71.16,"
                            4"
印花 | gla1ve | 2017年克拉科夫锦标赛,￥13.55,"
                            3"
M4A4 | 沙漠风暴 (战痕累累),￥103.00,"
                            7"
M4A1消音版 | 女火神之炽焰 (略有磨损),￥1280.00,"
                            136"
锯齿爪刀（★） | 致命紫罗兰 (略有磨损),￥2652.00,"
                            17"
封装的涂鸦 | mousesports | 2017年克拉科夫锦标赛,￥23.69,"
                            10"
MAC-10 | 通勤者皮革 (破损不堪),￥61.32,"
                            8"
P2000 | 电子脉冲 (破损不堪),￥12.50,"
                            10"
封装的涂鸦 | Cloud9 | 2018年伦敦锦标赛,￥32.67,"
                            4"
印花 | Sharks Esports （全息） | 2021年斯德哥尔摩锦标赛,￥43.50,"
                            262"
印花 | Virtus.Pro （全息） | 2021年斯德哥尔摩锦标赛,￥47.00,"
                            22"
P2000 | 电子脉冲 (破损不堪),￥12.50,"
                            10"
封装的涂鸦 | Cloud9 | 2018年伦敦锦标赛,￥32.67,"
                            4"
印花 | Sharks Esports （全息） | 2021年斯德哥尔摩锦标赛,￥43.50,"
                            262"
印花 | Virtus.Pro （全息） | 2021年斯德哥尔摩锦标赛,￥47.00,"
                            22"
印花 | Vitality （全息） | 2021年斯德哥尔摩锦标赛,￥28.00,"
                            257"
AWP | 渐变之色 (崭新出厂),￥6999.00,"
                            88"
M4A4（StatTrak™） | 赛博 (崭新出厂),￥1100.00,"
                            24"
印花 | Hello 加利尔AR（金色）,￥29.95,"
                            8"
CZ75自动型 | 辛迪加 (破损不堪),￥55.65,"
                            5"
格洛克18型（StatTrak™） | 战鹰 (久经沙场),￥9.08,"
                            35"
MAC-10 | 凝视之眼 (崭新出厂),￥1000.00,"
                            47"
双持贝瑞塔 | 双涡轮 (略有磨损),￥25.82,"
                            24"
封装的涂鸦 | 小小皇冠 (纯紫),￥5.19,"
                            2"
AUG | 动量 (略有磨损),￥149.00,"
                            19"
印花 | dupreeh（金色） | 2022年安特卫普锦标赛,￥53.32,"
                            5"
沙漠之鹰 | 薄荷折扇 (略有磨损),￥11.53,"
                            210"
G3SG1 | 雇佣兵 (略有磨损),￥47.75,"
                            2"
生物防害专家 | 特警,￥100.95,"
                            353"
MAC-10 | 萌猴迷彩 (战痕累累),￥0.59,"
                            14"
穿肠刀（★ StatTrak™） | 深红之网 (久经沙场),￥919.00,"
                            10"
生物防害专家 | 特警,￥100.95,"
                            353"
MAC-10 | 萌猴迷彩 (战痕累累),￥0.59,"
                            14"
穿肠刀（★ StatTrak™） | 深红之网 (久经沙场),￥919.00,"
                            10"
格洛克18型（StatTrak™） | 鼬鼠 (略有磨损),￥20.68,"
                            22"
鲍伊猎刀（★ StatTrak™） | 自由之手 (破损不堪),￥1399.00,"
                            2"
P250（StatTrak™） | 生化短吻鳄 (崭新出厂),￥789.90,"
                            6"
M4A4 | 皇家圣骑士 (崭新出厂),￥3965.00,"
                            30"
法玛斯 | 雅典娜之眼 (战痕累累),￥40.67,"
                            15"
法玛斯 | 目皆转睛 (久经沙场),￥42.67,"
                            1107"
P2000 | 变态杀戮 (久经沙场),￥24.77,"
                            441"
截短霰弹枪 | 荒野公主 (久经沙场),￥360.00,"
                            89"
双持贝瑞塔 | 瓜瓜 (久经沙场),￥42.95,"
                            920"
SG 553 | 黯翼 (破损不堪),￥3.53,"
                            102"
印花 | b1t（全息）| 2022年里约热内卢锦标赛,￥14.90,"
                            5"
P90 | 深蓝组件 (略有磨损),￥17.45,"
                            34"
P250（StatTrak™） | 元素轮廓 (略有磨损),￥8.29,"
                            76"
P90（StatTrak™） | 病毒危机 (战痕累累),￥45.16,"
                            2"
MAG-7（StatTrak™） | 铋晶体 (破损不堪),￥38.84,"
                            3"
裹手（★） | 警告！ (破损不堪),￥991.00,"
                            33"
