序号,题号,题目名称,难度,通过率,挑战人数,标签
44,17577,小齐的围栏,中,0%,45,数学
45,17833,辉神对电路分析,中,0%,45,数学
46,17578,小齐的干草堆问题,中,25%,45,数学
47,17323,游戏中的智斗,中,0%,45,数学
48,18091,连线游戏,中,50%,45,计算几何、数学
49,17324,小齐的捕蛇计划,中,33.3%,45,动态规划
50,17580,小齐的钻石陈列,中,42.9%,45,数学
51,17838,可可的能量转移游戏,中,25%,45,数学
52,17327,原原的数字游戏二,中,0%,45,数学
53,17840,卓卓仓库放置铀,中,0%,45,数学
54,12209,可可的二进制插值,中,57.1%,45,
55,17585,荣神排列字符串,中,0%,45,字符串
56,17841,怂怂的奇数回文,中,0%,45,数学
57,17842,可可的均衡点寻找,中,66.7%,45,数学
58,17331,小齐的山地观景计划,中,0%,45,数据结构
59,17588,小齐的无线对话,中,33.3%,45,数学
60,17845,卓卓唱歌组队,中,0%,45,数学
61,17335,小齐的商务之旅,中,0%,45,模拟
62,17847,乐乐的简易计数器,中,0%,45,数学
63,17338,小齐的线段复杂度挑战,中,0%,45,模拟
64,17852,可可的幸运密码锁,中,20%,45,数学
65,17853,云神积攒能量,中,0%,45,数学
66,17598,荣神统计不同子串,中,14.3%,45,字符串
67,17345,小齐的路径探索,中,0%,45,动态规划
68,17346,小齐的约会邀请,中,0%,45,数学
69,17858,小齐和乐乐的计算任务游戏,中,0%,45,数学
70,17606,云神的子数组和,中,58.3%,45,排序
71,17862,怂怂的巨大矩阵,中,0%,45,数学
72,17863,乐乐的长方形步伐,中,50%,45,数学
73,17865,卓卓的黑白项链,中,40%,45,数学
74,17866,浩浩的森林探险,中,0%,45,数学
75,17867,小齐挑战之显性自由集,中,0%,45,数学
76,17868,乐乐的个人黑区域,中,0%,45,数学
77,17361,小齐的田地之喷水器谜题,中,0%,45,动态规划
78,17617,野兽先辈查询不同值,中,25%,45,数据结构
79,17873,乐乐的搭配花样,中,0%,45,数学
80,17363,小齐的徘徊,中,0%,45,数学
81,17364,小齐的障碍冲刺,中,0%,45,计算几何、数学
82,17876,乐乐的生存游戏,中,0%,45,数学
83,13013,小齐的奶牛冰壶锦标赛,中,33.3%,45,数学
84,18137,圆周的秘密,中,0%,45,计算几何
85,17883,质数距离,中,50%,45,数学
86,17885,乐乐的最长结束序列,中,0%,45,数学
87,17374,小齐的平衡游戏,中,0%,45,贪心
88,17888,乐乐的黎曼函数,中,0%,45,数学
89,18144,梦中的庭园,中,50%,45,计算几何
90,17636,云神的数组描述,中,20%,45,动态规划
91,17384,小齐挑战之交通传感器,中,0%,45,模拟
92,17640,康康的多项式,中,33.3%,45,数学
93,17385,小齐的飞行计划,中,0%,45,位运算
94,17897,小齐砍伐树木,中,0%,45,数学
95,17899,卓卓的曼哈顿距离,中,25%,45,数学
96,17644,康康的数学问题,中,0%,45,数学
97,17646,云神计算塔数,中,0%,45,动态规划
98,17903,小齐的数字交换,中,37.5%,45,数学
99,17648,康康的数组,中,0%,45,数学
100,17650,小齐的奔跑游戏,中,0%,45,数学
101,17424,小齐的疫情防控计划,中,0%,46,模拟
102,18192,长度与频次,中,50%,46,后缀自动机、字符串
103,17681,小齐的环形赛道,中,20%,46,数学
104,17683,小齐的奶牛巡视,中,0%,46,数学
105,17939,密文解析,中,66.7%,46,数学
106,18195,辰辉之角,中,0%,46,计算几何
107,18198,较劲的农夫们,中,63.6%,46,思维、构造
108,17431,小齐的饱食问题,中,42.9%,46,数学
109,17944,可可的彩石,中,63.6%,46,数学
110,17690,浩浩的魔法石合成,中,33.3%,46,数学
111,17180,野兽先辈的信号掩码,中,0%,46,FFT
112,17692,小齐的Moo游戏猜想,中,33.3%,46,数学
113,17948,特立独行的元素,中,85.7%,46,数学
114,17181,野兽先辈的点测试,中,33.3%,46,计算几何
115,17693,辉神的电阻网络,中,0%,46,数学
116,17695,小齐的牧场之谜,中,0%,46,数学
117,17440,小齐的网络修改,中,0%,46,图论
118,17441,小齐的游戏之标记之争,中,0%,46,并查集
119,17188,野兽先辈的怪物游戏,中,22.2%,46,动态规划
120,17444,小齐的多项式运动,中,0%,46,数学
121,17446,小齐的时光之旅,中,0%,46,数学
122,17702,小齐的牧场布局,中,0%,46,数学
123,17959,游戏序列设计,中,0%,46,数学
124,17704,小齐的问候,中,0%,46,数学
125,17706,辉神求解强连通分量,中,0%,46,数学
126,17964,函数效率优化,中,50%,46,数学
127,17709,怂怂的幸运正整数,中,66.7%,46,数学
128,17965,可可的宝石对,中,68.4%,46,数学
129,18223,三和区间划分,中,0%,46,动态规划
130,17712,浩浩的果园标记机器,中,33.3%,46,数学
131,17713,辉神合并城市,中,0%,46,数学
132,17202,卓儿的特殊子串,中,16.7%,46,字符串
133,17714,辉神叉乘,中,25%,46,数学
134,17204,卓儿的最大面积大楼,中,25%,46,线段树
135,17460,小齐的网格线,中,0%,46,图论
136,17463,小齐的车里程,中,0%,46,数学
137,17464,小齐的禁锢难题,中,0%,46,数学
138,17720,辉神指定旅行计划,中,0%,46,数学
139,17721,辉神的森林,中,0%,46,数学
140,17466,小齐的牧场装饰,中,0%,46,数学
141,18234,改变高度的比赛,中,25%,46,博弈
142,17723,怂怂的奖励抽取,中,0%,46,数学
143,17981,能量珠充能,中,16.7%,46,数学
144,17982,最大化序列和的单次操作,中,33.3%,46,数学
145,17728,辉神判丛林,中,0%,46,数学
146,17731,小齐的中位数探寻,中,0%,46,数学
147,17732,古文献的符号学,中,0%,46,数学
148,18246,环上计数,中,50%,46,排列组合
149,17480,小齐的草地摄影,中,0%,46,贪心
150,17481,小齐的度假规划,中,0%,46,数学
151,17226,卓儿的城市道路,中,20%,46,图论
152,17482,小齐的灌溉困境,中,0%,46,数学
153,17739,喷泉的和谐时刻,中,60%,46,数学
154,17740,辉神查看谣言影响度,中,0%,46,数学
155,17996,最小化编码字母表,中,75%,46,数学
156,17486,小齐的牛奶调查,中,50%,46,数学
157,17742,网络病毒清除,中,0%,46,数学
158,17487,小齐的奶牛围栏,中,0%,46,数学
159,17743,社区小组的最优组织,中,0%,46,数学
160,17744,未来城市的充电顺序,中,0%,46,数学
161,17233,长方形区域,中,0%,46,线段树
162,17489,小齐的登机问题,中,0%,46,数学
163,17747,寻找最优卡片序列,中,55.6%,46,数学
164,18003,奇偶数组变换查询,中,33.3%,46,数学
165,17237,卓儿的加号,中,0%,46,字符串
166,17749,小齐的草地规划,中,0%,46,数学
167,17494,小齐的奇特分类器,中,0%,46,数学
168,17751,小齐的音符探奇,中,0%,46,数学
169,18264,吃球球,中,20%,46,贪心
170,17497,小齐的自动补全,中,0%,46,数学
171,18009,最小化芯片布局成本,中,0%,46,数学
172,17242,卓儿交换礼物,中,16.7%,46,后缀数组
173,17755,彩球序列的局部巅峰,中,28.6%,46,数学
174,17756,小齐的障碍艺术,中,0%,46,数学
175,17501,小齐的旅游设计,中,0%,46,数学
176,17757,构建特定共边生成树的无向图,中,0%,46,数学
177,12126,开心消消乐,中,57.1%,46,
178,18014,货币组合验证,中,38.5%,46,数学
179,17503,小齐的超级公牛锦标赛,中,0%,46,数学
180,17248,卓儿的清单及查询,中,84.6%,46,字典树
181,17248,卓儿的清单及查询,中,84.6%,46,字典树
182,17760,灯的最佳排列,中,71.4%,46,数学
183,18016,立方体染色,中,0%,46,数学
184,17761,舞会的排队规则,中,0%,46,数学
185,18019,平方和序列,中,0%,46,数学
186,17508,小齐的优质牧场,中,0%,46,数学
187,18020,网络传输,中,0%,46,数学
188,18277,潮涌碁盘,中,62.5%,46,思维
189,17510,小齐的管道系统,中,50%,46,数学
190,18022,寻找食物,中,71.4%,46,数学
191,17511,小齐的顺风车服务,中,0%,46,数学
192,17767,智慧消费的最优策略,中,87.5%,46,数学
193,17512,小齐的燃油计划,中,0%,46,数学
194,17514,小齐的黑暗之旅,中,0%,46,数学
195,17515,小齐的文章审查,中,14.3%,46,数学
196,17516,小齐的困扰,中,0%,46,数学
197,17772,最长对称友谊组,中,0%,46,数学
198,17261,卓儿的程序命令,中,50%,46,动态规划
199,18029,满足条件的聚会方案数,中,20%,46,数学
200,17518,小齐的虫洞奇遇,中,0%,46,数学
201,17776,序列优化操作次数,中,56.2%,46,数学
202,18032,乐乐的能量石,中,66.7%,46,数学
203,17521,小齐的土地规划,中,0%,46,数学
204,17522,小齐的品种分配,中,0%,46,数学
205,18034,森林中的力量对比,中,60%,46,数学
206,17779,查找变形计数序列的特定项,中,83.3%,46,数学
207,18035,同步两组信号灯,中,28.6%,46,数学
208,18036,矩形依赖,中,60%,46,数学
209,17526,小齐的花园,中,0%,46,数学
210,18038,替换数组和,中,77.8%,46,数学
211,17271,小齐的独特视野,中,50%,46,数学
212,18295,视察城市,中,0%,46,图论、堆
213,17528,小齐的农场比赛,中,0%,46,数学
214,18040,工程师天堂,中,0%,46,思维、数学
215,17529,小齐的购物冒险,中,0%,46,数学
216,18041,方程的和谐,中,0%,46,思维、数学
217,18297,运转法阵,中,0%,46,贪心、数学
218,17530,小齐的照明计划,中,0%,46,数学
219,17786,辉神的多项式计算,中,0%,46,数学
220,18042,互质之舞,中,0%,46,思维、数学
221,17532,小齐的新拖拉机,中,25%,46,数学
222,17788,最佳行政中心选拔,中,20%,46,数学
223,18044,毕氏图形猷,中,0%,46,思维、数学
224,17534,小齐的奶牛分房间计划,中,0%,46,数学
225,17535,小齐的录制计划,中,16.7%,46,数学
226,17791,辉神奔赴高考,中,0%,46,数学
227,17536,小齐的豪华河流之旅,中,50%,46,数学
228,17792,辉神的摩天大楼,中,0%,46,数学
229,18304,得胜的法门,中,0%,46,博弈、数学
230,17794,灯阵升级计划,中,20%,46,数学
231,17539,小齐的密码锁,中,0%,46,数学
232,18051,迷离数字,中,0%,46,思维、数学
233,17544,小齐的牛群穿越,中,66.7%,46,数学
234,17545,小齐的赛跑,中,0%,46,数学
235,18058,帕纳伊托波尔的奇迹,中,0%,46,思维、数学
236,17805,乐乐的迷宫转换游戏,中,0%,46,数学
237,18062,质因幸运舞,中,0%,46,思维、数学
238,17298,小齐的传球练习,中,25%,46,模拟
239,17557,小齐的连线问题,中,0%,46,数学
240,17813,乐乐的挑战之相等的总和,中,0%,46,数学
241,18069,渐行渐远终成序,中,0%,46,思维、数学
242,17560,小齐的奶牛温控,中,42.9%,46,数学
243,18072,绳锯木断，水滴石穿,中,0%,46,思维、数学
244,17818,小齐构建二进制矩阵,中,0%,46,数学
245,17314,小齐的日志检查,中,0%,46,动态规划
246,18082,素影双双寻极致,中,50%,46,思维、数学
247,17571,小齐的园区涂漆,中,33.3%,46,数学
248,17317,小齐的智慧引导,中,0%,46,贪心
249,17573,小齐的农场关停计划,中,0%,46,数学
250,18086,细数寒星不过三,中,0%,46,思维、数学
251,17834,小齐挑战之8可划分,中,20%,46,数学
252,17579,小齐的最佳挤奶计划,中,0%,46,数学
253,17581,小齐的两个围栏,中,0%,46,数学
254,17837,小齐挑战之重构总和,中,0%,46,数学
255,17844,最大化重绘次数,中,0%,46,数学
256,17599,小齐的通讯系统,中,0%,46,数学
257,17347,小齐的急救行动,中,33.3%,46,模拟
258,17349,寻找小齐的计谋,中,0%,46,模拟
259,17353,小齐的馅饼宴,中,0%,46,动态规划
260,17354,小齐的装饰树,中,0%,46,动态规划
261,17875,浩浩的魔力宝石,中,50%,46,数学
262,17365,小齐的赛跑策略,中,0%,46,模拟
263,17624,野兽先辈的比萨,中,50%,46,数据结构
264,17882,步进数,中,0%,46,数学
265,17884,乐乐的牛仔裤和衬衫,中,70%,46,数学
266,17637,康康的传送通道,中,33.3%,46,数学
267,18149,接天莲叶无穷碧,中,16.7%,46,计算几何
268,18412,回响中的方寸之地,中,71.4%,46,计算几何
269,17389,检测序列中的不匹配对,中,84.2%,46,思维
270,17649,康康的方案数,中,0%,46,数学
271,17905,怂怂玩相等,中,0%,46,数学
272,17401,小齐游玩山谷计划,中,0%,46,排序
273,17402,小齐的太空之旅,中,0%,46,贪心
274,17660,康康的网络,中,0%,46,数学
275,17405,小齐的律动舞蹈,中,0%,46,数学
276,17666,小齐挑战之绳子折叠,中,33.3%,47,数学
277,17669,小齐的公平分草问题,中,46.2%,47,数学
278,17672,小齐的送货路线,中,0%,47,数学
279,18186,不同颜色的花,中,0%,47,计算几何
280,17679,小齐的大逃脱之解开绳索的艺术,中,0%,47,数学
281,17682,小齐的雨滴问题,中,0%,47,数学
282,17685,小齐的字典序奇遇记,中,0%,47,数学
283,17175,野兽先辈美丽的子网格,中,0%,47,数学
284,17943,乐乐的旅行步伐,中,66.7%,47,数学
285,17433,小齐的图之旅,中,0%,47,图论
286,17689,小齐的牧场规划,中,0%,47,数学
287,17947,黑色图案,中,0%,47,数学
288,17694,小齐的拼图之旅,中,0%,47,数学
289,17953,逆风奔跑的乐乐,中,52.6%,47,数学
290,17701,格点线段包含点计数,中,33.3%,47,数学
291,17703,辉神的数学问题,中,0%,47,数学
292,17705,小齐的品种排列,中,40%,47,数学
293,17716,小齐的拼图难题,中,0%,47,数学
294,17717,小齐的农场简化计划,中,0%,47,数学
295,17718,宝石交换最小序列,中,57.1%,47,数学
296,17978,最大的波动数组,中,75%,47,数学
297,17469,小齐的石子游戏策略,中,0%,47,排序
298,17725,怂怂的图书馆监控,中,0%,47,数学
299,17727,二进制序列的元素交换,中,50%,47,数学
300,17216,下载速度,中,50%,47,图论
301,17984,平衡点的寻找,中,73.3%,47,数学
302,17729,辉神迫切操作数列,中,0%,47,数学
303,17986,节日礼品最优购,中,80%,47,数学
304,17476,小齐的道路封堵,中,0%,47,数学
305,17479,小齐的超速之旅,中,80%,47,数学
306,17736,坐标系中的直角三角形包含点数计算,中,0%,47,数学
307,17992,最少步数的坐标变换,中,50%,47,数学
308,18253,晨辉下的差异,中,33.3%,47,计算几何
309,17236,卓儿的GCD,中,0%,47,数学、数据结构
310,17496,小齐的字符游戏,中,62.5%,47,数学
311,18015,中位数之和,中,75%,47,数学
312,18018,最大幸福安排,中,0%,47,数学
313,17766,最大等长纸牌围墙,中,66.7%,47,数学
314,17255,卓儿的最昂贵子序列,中,20%,47,动态规划
315,18028,最优积木堆叠,中,42.9%,47,数学
316,17517,小齐的连续观影计划,中,0%,47,数学
317,17773,数组元素均一化操作,中,0%,47,数学
318,17777,辉神帮助政府建桥,中,0%,47,数学
319,18289,乘序渐进图,中,33.3%,47,思维、数学
320,17523,小齐的圆形谷仓,中,0%,47,数学
321,17525,小齐的奶牛品种统计,中,72.7%,47,数学
322,17782,平衡乐乐的积分,中,84.6%,47,数学
323,18046,离散的旋律,中,0%,47,思维、数学
324,17793,组合购物券的支付方案,中,77.8%,47,数学
325,18054,数字的奇迹,中,0%,47,思维、数学
326,18056,石子游戏的策略,中,0%,47,思维、数学
327,17547,小齐的奇幻画布,中,0%,47,数学
328,17811,乐乐的石子排列,中,0%,47,数学
329,17815,小齐求最小最大总和,中,0%,47,数学
330,17304,小齐的冰淇淋,中,0%,47,贪心
331,17306,小齐的田地,中,0%,47,贪心
332,17822,乐乐的积木塔,中,0%,47,数学
333,18336,步履不停三十程,中,0%,47,排列组合
334,17572,小齐的数字游戏,中,0%,47,数学
335,18087,细数阶乘间最小差,中,0%,47,思维、数学
336,18343,质数的质数次方,中,0%,47,数学
337,17595,荣神创建字符串,中,0%,47,字符串
338,17343,小齐的Mooloo订阅,中,75%,47,模拟
339,18111,剪影交错八方秀,中,0%,47,思维
340,5056,公司解体,中,0%,47,动态规划、计算几何
341,17861,卓卓的核聚变反应,中,66.7%,47,数学
342,17352,小齐的程序分析,中,25%,47,字符串
343,17609,云神全员参加电影节,中,0%,47,排序
344,17612,云神的整除子数组,中,36.4%,47,排序
345,17870,怂怂的谜题箱,中,27.3%,47,数学
346,17360,小齐的灯光问题,中,33.3%,47,位运算
347,17619,野兽先辈更新和求和,中,33.3%,47,数据结构
348,17367,小齐的奶牛领导,中,0%,47,模拟
349,17881,方格纸上的直线,中,0%,47,数学
350,18162,凌空高指碧云端,中,50%,47,计算几何
351,17395,小齐的奶牛爱玩Moo游戏,中,14.3%,47,数学
352,17651,康康的蔬菜,中,0%,47,数学
353,17652,康康的套路,中,0%,47,数学
354,17911,环绕矩形,中,0%,47,数学
355,17932,连续空位,中,12.5%,48,数学
356,17933,最小化魔法释放次数,中,50%,48,数学
357,18193,平方求和最大,中,50%,48,后缀自动机
358,17430,小齐的数字秘密,中,0%,48,数学
359,17686,小齐的智慧书架设计,中,0%,48,数学
360,17942,锦标赛圈图,中,0%,48,数学
361,17687,小齐的礼物问题,中,25%,48,数学
362,17178,野兽先辈翻转子串,中,50%,48,线段树
363,17949,优化灯泡的最少交换次数,中,0%,48,数学
364,17442,小齐的奇妙牧场,中,0%,48,数学
365,17698,小齐挑战之树形括号深度,中,0%,48,数学
366,17700,浩浩的宝石区间收集,中,60%,48,数学
367,17190,野兽先辈的苹果和香蕉,中,33.3%,48,FFT
368,17958,与运算之数量,中,20%,48,数学
369,18217,卡牌最顶端,中,25%,48,思维、数学
370,17963,单个算数,中,64.3%,48,数学
371,17974,飘落的叶子,中,33.3%,48,数学
372,17975,乐乐的画板,中,81.8%,48,数学
373,18239,图天图地,中,50%,48,计算几何
374,17472,计算连续序列的可能性,中,0%,48,贪心
375,17221,卓儿的路径数,中,0%,48,数学
376,18245,中分线间长短未可量,中,40%,48,计算几何
377,17995,单增数列,中,0%,48,数学
378,18251,七分测试,中,75%,48,排列组合
379,18000,乐乐的序列和,中,60%,48,数学
380,17239,卓儿的AND操作,中,70%,48,线段树
381,17752,小齐的雨天烦恼,中,0%,48,数学
382,18265,根式的和,中,28.6%,48,数学、数论分块
383,17505,小齐的平衡团队,中,0%,48,数学
384,17507,小齐的牛群,中,25%,48,数学
385,17262,幼儿园的糖果,中,36.4%,48,贪心
386,17524,小齐的拼图,中,0%,48,数学
387,17785,序列分割的最大成本和,中,0%,48,数学
388,18049,轮回之链,中,0%,48,思维、数学
389,17284,小齐挑战之排队问题,中,0%,48,排序
390,17796,Alex 与 Ben 的数字游戏,中,0%,48,数学
391,17798,最大分段排序,中,0%,48,数学
392,18065,伪平方根之谜,中,0%,48,思维、数学
393,17562,小齐的品种相近度,中,77.8%,48,数学
394,17563,小齐的新农场,中,92.3%,48,数学
395,17823,小齐玩转堆计数,中,0%,48,数学
396,18081,星河滚热，织梦空间,中,0%,48,思维、数学
397,17830,云叔的前缀无子集,中,0%,48,字符串
398,17069,鲁邦的地铁冒险,中,60%,48,思维
399,17589,云神的数字查询,中,42.9%,48,数学
400,18357,对数列的最少操作次数,中,25%,48,贪心
401,17851,小齐重构图形,中,0%,48,数学
402,18368,桥桥冒险,中,87.5%,48,图论、数据结构
403,17602,云神的音乐会门票,中,42.9%,48,排序
404,18371,根号与字符串,中,0%,48,后缀自动机
405,18125,彩色的手链,中,0%,48,动态规划
406,17880,乐乐洗牌工作,中,57.1%,48,数学
407,17370,小齐的排列恢复,中,0%,48,模拟
408,18138,阿文闯关,中,0%,48,构造
409,17375,小齐的方向感,中,0%,48,数学
410,18143,三角形水池,中,50%,48,计算几何
411,18153,灵活使用技能,中,50%,48,动态规划
412,17901,卓卓的树上游戏,中,0%,48,数学
413,17670,小齐的干草堆重新摆放计划,中,0%,49,数学
414,17420,小齐最爱的颜色,中,0%,49,图论
415,17176,野兽先辈剪切粘贴,中,66.7%,49,线段树
416,17434,小齐的最大 h 指数,中,50%,49,数学
417,18219,联盟的生产,中,66.7%,49,图论、思维
418,17710,辉神提供寿司,中,0%,49,数学
419,17719,小齐的字母混淆,中,14.3%,49,数学
420,17977,激活田地,中,0%,49,数学
421,18236,收到礼物的数量,中,45.5%,49,博弈
422,17225,卓儿的比特子串,中,80%,49,FFT
423,17485,小齐的马拉松,中,0%,49,数学
424,17492,小齐的奶牛危机,中,0%,49,数学
425,18010,三等分,中,85.7%,49,数学
426,17245,卓儿剪绳子,中,20%,49,数据结构
427,17764,迷宫中的策略游戏,中,0%,49,数学
428,17509,小齐的减速,中,0%,49,数学
429,17542,小齐的滑雪难度,中,0%,49,数学
430,18057,幂集谜题,中,0%,49,思维、数学
431,17292,小齐的家族,中,0%,49,字符串、模拟
432,17303,小齐的井字游戏,中,80%,49,字符串
433,18074,概率中序偶然遇真章,中,0%,49,思维、数学
434,17313,小齐和小白的动物猜测,中,0%,49,数学
435,17839,可可的黄金机器,中,57.1%,49,数学
436,18097,三角形城市景观,中,50%,49,思维、计算几何、数学
437,18375,藏宝图寻觅,中,0%,49,计算几何
438,18132,根号的求和式,中,28.6%,49,数学、数论分块
439,18134,球面划空间,中,50%,49,思维、数学
440,17879,调整区间,中,33.3%,49,数学
441,18139,七乘七棋盘,中,0%,49,排列组合
442,17373,小齐的猜数字游戏,中,0%,49,数学
443,17629,云神切割长方形,中,0%,49,动态规划
444,17632,康康带牛喝水,中,0%,49,数学
445,18403,因子之积绘算术,中,0%,49,思维、数学
446,18407,或运算的最大权,中,33.3%,49,后缀自动机
447,18414,交错弧间梦幻逸,中,50%,49,计算几何
448,17398,小齐寻找最大路径,中,0%,49,贪心
449,17407,小齐的牛奶之旅,中,50%,49,树
450,17928,邻位交换排序,中,0%,50,数学
451,18188,模三字符串,中,0%,50,后缀自动机
452,17422,小齐的线段复杂度之谜,中,0%,50,数学
453,17941,神秘序列数量,中,0%,50,数学
454,11037,饮水机挑战,中,71.4%,50,思维
455,17950,无法选择的充电桩,中,0%,50,数学
456,17696,小齐的WiFi安装,中,0%,50,数学
457,17954,不同循环子串,中,0%,50,数学
458,17187,野兽先辈的子数组成本,中,50%,50,动态规划
459,17957,可可的宝石转换,中,57.1%,50,数学
460,18214,跃枝千尺后，始知世界小,中,33.3%,50,思维、数学
461,17453,寻找最丰富多彩的列,中,57.1%,50,思维
462,17970,时间旅行者,中,77.8%,50,数学
463,17976,有序整数对,中,40%,50,GCD、数学
464,17222,卓儿喜欢数字,中,66.7%,50,数学
465,17998,二进制序列的最大成本,中,70%,50,数学
466,17999,奇怪的距离,中,0%,50,数学
467,17491,小齐的卡牌胜利,中,0%,50,数学
468,18011,对角线总和,中,0%,50,数学
469,17762,树中路径数组的逆序对总数,中,50%,50,数学
470,18025,正数产物序列,中,90%,50,数学
471,18026,最大差值对计数,中,50%,50,数学
472,17781,最少操作匹配目标,中,50%,50,数学
473,8054,琪琪的魔法炼金挑战,中,87.5%,50,思维、数学
474,17281,小齐的隐秘躲藏,中,0%,50,树
475,17290,小齐的移动服务,中,0%,50,数学
476,17326,小齐的排序计划,中,0%,50,贪心、前缀和、数学
477,17591,荣神匹对字符串,中,73.7%,50,字符串
478,17342,小齐的非递减子序列,中,0%,50,分治
479,18388,与的区间划分,中,0%,50,动态规划
480,17369,小齐的礼物重新分配,中,0%,50,排序
481,18140,奇怪的三元组,中,40%,50,博弈
482,18147,灯塔基石,中,50%,50,思维、数学
483,18151,发牌者,中,33.3%,50,中国剩余定理、数学
484,8425,找四元链计数,中,50%,50,图论
485,8435,奇怪图的最大环,中,0%,50,图论
486,17940,前后缀计数,中,0%,51,数学
487,17435,小齐的新摄影计划,中,0%,51,模拟
488,17199,卓儿的字符串转换,中,0%,51,字符串
489,17475,消除和值为素数的数字对,中,11.1%,51,思维
490,17991,连续序列,中,0%,51,数学
491,18286,女巫的药剂,中,50%,51,动态规划
492,18288,南岳青山隐霭光,中,50%,51,计算几何
493,8314,艾瑟拉的魔法挑战,中,50%,51,动态规划
494,17789,整除子集寻找,中,60%,51,数学
495,18045,古数的魔力,中,50%,51,思维、数学
496,18048,古数的奇数,中,0%,51,思维、数学
497,17538,小齐的跳跃训练,中,0%,51,数学
498,17584,小齐的机器牛群,中,0%,51,数学
499,17593,云神的窗口消费,中,0%,51,排序
500,17849,松松的最大异或和,中,0%,51,数学
501,18365,所需正整数对,中,0%,51,GCD、数学
502,18113,三源共鸣,中,33.3%,51,思维、数学
503,18381,正数子数组,中,25%,51,数位DP
504,17368,小齐的友谊力量,中,0%,51,并查集
505,18402,防盗手段,中,20%,51,GCD、数学
506,17891,密封容器游戏,中,75%,51,数学
507,17438,小齐的邮件整理,中,0%,52,贪心
508,18206,格子出发,中,42.9%,52,数位DP
509,17699,小齐的园艺问题,中,0%,52,数学
510,17447,小齐的农场巧思,中,0%,52,排序
511,17461,画家小齐的挑战,中,66.7%,52,动态规划
512,8269,布里茨的音乐旋律,中,0%,52,动态规划
513,17243,卓儿的机器人,中,57.1%,52,排序
514,18306,长方幻影,中,75%,52,计算几何
515,18053,迷途的乘数,中,0%,52,思维、数学
516,18311,小工厂,中,72.7%,52,图论、模拟、思维
517,17321,小齐的山脉视野,中,0%,52,排序
518,18115,数组的异或和,中,0%,52,动态规划
519,8132,诺伊的甜品店,中,80%,52,思维
520,17357,小齐的图论之旅,中,0%,52,并查集
521,18390,玩具分配,中,0%,52,数学、排列组合
522,18145,数序如织，零一成诗,中,55.6%,52,思维、数学
523,17896,乐乐的嫌疑间隔,中,92.3%,52,数学
524,17919,乐乐的基础K异或,中,33.3%,52,数学
525,17937,最小数组排列,中,83.3%,53,数学
526,17955,乐乐的K集合,中,87.5%,53,数学
527,17707,辉神的线段树,中,0%,53,数学
528,17983,最长连续通道,中,0%,53,数学
529,17989,翻转的游戏,中,0%,53,数学
530,18004,异或运算,中,16.7%,53,数学
531,18276,最短的LCM,中,16.7%,53,数学、质因子分解
532,17784,有效三元组计数,中,75%,53,数学
533,17289,小齐的混合牛奶,中,86.7%,53,模拟
534,18068,寻找特殊之数,中,33.3%,53,思维、数学
